start_seconds,seconds,requests,rps,p90_ms,errors,successful_purchases
0,10,507,50.7,1598,0,92
10,10,1503,150.3,1969,0,341
20,10,1999,199.9,2331,0,463
30,10,2298,229.8,3126,0,536
40,10,2515,251.5,3191,0,584
50,10,2644,264.4,3948,0,613
60,10,2483,248.3,6570,22,617
70,10,2416,241.6,7109,74,601
80,10,2017,201.7,10573,146,448
90,10,1414,141.4,17189,167,309
100,10,866,86.6,21606,115,153
110,10,1162,116.2,11276,81,228
120,10,1745,174.5,6095,66,376
130,10,2186,218.6,4874,32,492
140,10,2312,231.2,5679,8,556
150,10,2426,242.6,6072,21,582
160,10,2326,232.6,6876,60,552
170,10,2266,226.6,8329,89,540
180,10,2128,212.8,9488,110,513
190,10,1790,179.0,13800,157,381
200,10,1329,132.9,16633,127,292
210,10,1396,139.6,12635,109,290
220,10,1621,162.1,6962,85,350
230,10,1892,189.2,6900,84,415
240,10,1977,197.7,6217,48,458
250,10,2163,216.3,6611,70,506
260,10,2101,210.1,6775,94,488
270,10,1995,199.5,7227,107,457
280,10,1877,187.7,9081,120,430
290,10,1823,182.3,9361,112,401
300,10,1541,154.1,13083,118,344
310,10,1498,149.8,13996,121,321
320,10,1683,168.3,7671,106,371
330,10,1707,170.7,6925,88,393
340,10,1790,179.0,8989,98,382
350,10,1861,186.1,6838,91,421
360,10,1941,194.1,8223,106,443
370,10,1964,196.4,7563,78,457
380,10,1838,183.8,11316,109,417
390,10,1746,174.6,11990,164,382
400,10,1690,169.0,10001,157,385
410,10,1664,166.4,10515,254,317
420,10,1742,174.2,10002,260,334
430,10,1847,184.7,15800,131,395
440,10,1692,169.2,6280,84,372
450,10,2116,211.6,11235,166,449
460,10,1880,188.0,5683,63,437
470,10,1853,185.3,5327,89,431
480,10,1895,189.5,7037,116,428
490,10,1732,173.2,10129,149,393
500,10,1542,154.2,15927,144,329
510,10,1444,144.4,13813,120,320
520,10,1459,145.9,13531,105,311
530,10,1418,141.8,14066,102,305
540,10,1418,141.8,15509,112,305
550,10,1518,151.8,11587,101,326
560,10,1496,149.6,10241,85,337
570,10,1506,150.6,7890,90,335
580,10,1524,152.4,13027,109,331
590,10,1480,148.0,13285,111,328
600,10,1390,139.0,15621,119,300
610,10,1360,136.0,10876,91,297
620,10,1506,150.6,14631,108,326
630,10,1440,144.0,12381,80,324
640,10,1551,155.1,10053,70,349
650,10,1550,155.0,9287,21,344
