start_seconds,seconds,requests,rps,p90_ms,errors,successful_purchases
0,10,290,29.0,3024,0,0
10,10,368,36.8,1910,0,12
20,10,371,37.1,1958,0,47
30,10,168,16.8,1254,3,21
40,10,159,15.9,2667,1,7
50,10,161,16.1,2225,0,17
60,10,193,19.3,1592,1,33
70,10,258,25.8,2621,0,62
80,10,850,85.0,27473,348,133
90,10,395,39.5,30001,92,73
100,10,584,58.4,24908,112,76
110,10,934,93.4,15306,69,152
120,10,1622,162.2,6166,41,346
130,10,2348,234.8,5229,23,555
140,10,2383,238.3,6055,33,561
150,10,2506,250.6,6388,18,611
160,10,2467,246.7,9197,51,598
170,10,2151,215.1,8897,46,510
180,10,427,42.7,6242,2,99
190,10,302,30.2,2213,0,63
200,10,201,20.1,1711,3,39
210,10,154,15.4,1632,1,31
220,10,203,20.3,1497,0,35
230,10,248,24.8,1450,0,53
